Source,Target,Weight
Hasegawa A,Ingen-Housz-Oro S,1
Hasegawa A,Mund A,1
Abe R,Hasegawa A,1
Hasegawa A,Silke J,1
Hasegawa A,Ji C,2
French LE,Hasegawa A,1
Hasegawa A,Mann M,1
Schweizer L,Zhang P,1
Schweizer L,Sinha A,1
Schweizer L,Zwiebel M,1
Satoh TK,Schweizer L,1
Anzengruber F,Schweizer L,1
Schweizer L,Tanzer MC,1
Saito Y,Schweizer L,1
Gong T,Schweizer L,1
Kimura H,Schweizer L,1
Schweizer L,Silke N,1
Rodriguez EH,Schweizer L,1
Restivo G,Schweizer L,1
Nguyen HH,Schweizer L,1
Gross A,Schweizer L,1
Feldmeyer L,Schweizer L,1
Joerg L,Schweizer L,1
Murray PJ,Schweizer L,2
Ingen-Housz-Oro S,Schweizer L,1
Abe R,Schweizer L,1
Schweizer L,Silke J,1
Ji C,Schweizer L,2
French LE,Schweizer L,1
Stadler PC,Zhang P,1
Sinha A,Zhang P,1
Metousis A,Zhang P,1
Rosenberger FA,Zhang P,1
Zhang P,Zwiebel M,1
Satoh TK,Zhang P,1
Anzengruber F,Zhang P,1
Strauss MT,Zhang P,1
Tanzer MC,Zhang P,1
Saito Y,Zhang P,1
Gong T,Zhang P,1
Thielert M,Zhang P,1
Kimura H,Zhang P,1
Silke N,Zhang P,1
Rodriguez EH,Zhang P,1
Restivo G,Zhang P,1
Nguyen HH,Zhang P,1
Gross A,Zhang P,1
Feldmeyer L,Zhang P,1
Joerg L,Zhang P,1
Levesque MP,Zhang P,1
Murray PJ,Zhang P,1
Ingen-Housz-Oro S,Zhang P,1
Mund A,Zhang P,1
Abe R,Zhang P,1
Silke J,Zhang P,1
Ji C,Zhang P,2
French LE,Zhang P,1
Mann M,Zhang P,1
Sinha A,Stadler PC,1
Stadler PC,Zwiebel M,1
Satoh TK,Stadler PC,1
Anzengruber F,Stadler PC,1
Stadler PC,Strauss MT,1
Stadler PC,Tanzer MC,1
Saito Y,Stadler PC,1
Gong T,Stadler PC,1
Kimura H,Stadler PC,1
Silke N,Stadler PC,1
Rodriguez EH,Stadler PC,1
Restivo G,Stadler PC,1
Nguyen HH,Stadler PC,1
Gross A,Stadler PC,1
Feldmeyer L,Stadler PC,1
Joerg L,Stadler PC,1
Levesque MP,Stadler PC,1
Murray PJ,Stadler PC,1
Ingen-Housz-Oro S,Stadler PC,1
Abe R,Stadler PC,1
Silke J,Stadler PC,1
Ji C,Stadler PC,2
French LE,Stadler PC,1
Metousis A,Sinha A,2
Rosenberger FA,Sinha A,1
Sinha A,Zwiebel M,1
Satoh TK,Sinha A,1
Anzengruber F,Sinha A,1
Sinha A,Strauss MT,1
Sinha A,Tanzer MC,1
Saito Y,Sinha A,1
