Source,Target,Type
Gnann C,35590073,Author-Paper
Lundberg E,35590073,Author-Paper
Horvath P,35590073,Author-Paper
Mann M,35590073,Author-Paper
Wünnemann F,41044418,Author-Paper
Sicklinger F,41044418,Author-Paper
Bestak K,41044418,Author-Paper
Nimo J,41044418,Author-Paper
Thiemann T,41044418,Author-Paper
Amrute JM,41044418,Author-Paper
Nordbeck M,41044418,Author-Paper
Hartmann N,41044418,Author-Paper
Ibarra-Arellano MA,41044418,Author-Paper
Tanevski J,41044418,Author-Paper
Chazotte M,41044418,Author-Paper
Heine C,41044418,Author-Paper
Frey N,41044418,Author-Paper
Lavine KJ,41044418,Author-Paper
Coscia F,41044418,Author-Paper
Saez-Rodriguez J,41044418,Author-Paper
Leuschner F,41044418,Author-Paper
Schapiro D,41044418,Author-Paper
Schmacke NA,PPR669390,Author-Paper
Mädler SC,PPR669390,Author-Paper
Wallmann G,PPR669390,Author-Paper
Metousis A,PPR669390,Author-Paper
Bérouti M,PPR669390,Author-Paper
Harz H,PPR669390,Author-Paper
Leonhardt H,PPR669390,Author-Paper
Mann M,PPR669390,Author-Paper
Hornung V,PPR669390,Author-Paper
Makhmut A,41233595,Author-Paper
Dragomir MP,41233595,Author-Paper
Fritzsche S,41233595,Author-Paper
Moebs M,41233595,Author-Paper
Schmitt WD,41233595,Author-Paper
Taube ET,41233595,Author-Paper
Coscia F,41233595,Author-Paper
